CyberCBP Security Report
Generated At,2026-04-18T23:36:13.400178
Total Threats,154
Total Vulnerabilities,137

=== THREATS ===
ID,Timestamp,Severity,Rule ID,Source,Description
7fe13e62…,2026-04-06 10:29:16,Anomaly,ML_ANOMALY,ml_engine,Anomaly detected by ML engine (score=-0.5000). CPU=12.9% MEM=68.6% PROCS=847 CONNS=0
58b426fc…,2026-04-06 10:28:15,Anomaly,ML_ANOMALY,ml_engine,Anomaly detected by ML engine (score=-0.5000). CPU=3.7% MEM=68.8% PROCS=855 CONNS=0
6114eeea…,2026-04-06 10:27:14,Anomaly,ML_ANOMALY,ml_engine,Anomaly detected by ML engine (score=-0.5000). CPU=6.4% MEM=68.2% PROCS=841 CONNS=0
9ed1dc6d…,2026-04-06 10:27:06,High,OPEN_RISKY_PORT,scanner,SSH — ensure key-based auth & no root login
cba978c2…,2026-04-03 22:16:36,Medium,HIGH_CPU,rules_engine,Process 'mediaanalysisd' (PID 711) is using 135.4% CPU
246bce78…,2026-04-03 22:16:30,Anomaly,ML_ANOMALY,ml_engine,Anomaly detected by ML engine (score=-0.5000). CPU=13.0% MEM=62.7% PROCS=824 CONNS=0
10da76e4…,2026-04-03 22:15:35,Medium,HIGH_CPU,rules_engine,Process 'mediaanalysisd' (PID 711) is using 97.9% CPU
013d10b3…,2026-04-03 22:15:29,Anomaly,ML_ANOMALY,ml_engine,Anomaly detected by ML engine (score=-0.5000). CPU=13.2% MEM=62.3% PROCS=824 CONNS=0
aee0f4f9…,2026-04-03 22:15:21,High,OPEN_RISKY_PORT,scanner,SSH — ensure key-based auth & no root login
ce222d33…,2026-04-03 21:59:33,Anomaly,ML_ANOMALY,ml_engine,Anomaly detected by ML engine (score=-0.5000). CPU=1.3% MEM=61.9% PROCS=824 CONNS=0
db71ae4f…,2026-04-03 21:59:25,High,OPEN_RISKY_PORT,scanner,SSH — ensure key-based auth & no root login

=== VULNERABILITIES ===
ID,Timestamp,Scanner,Port,Service,Severity,Detail
137,2026-04-18 23:35:10,socket,3306,mysql,Medium,MySQL — database port should not be public
136,2026-04-18 23:35:10,socket,22,ssh,Medium,SSH — ensure key-based auth & no root login
135,2026-04-18 23:34:44,socket,3306,mysql,Medium,MySQL — database port should not be public
134,2026-04-18 23:34:44,socket,22,ssh,Medium,SSH — ensure key-based auth & no root login
133,2026-04-18 23:32:36,socket,3306,mysql,Medium,MySQL — database port should not be public
132,2026-04-18 23:32:36,socket,22,ssh,Medium,SSH — ensure key-based auth & no root login
131,2026-04-18 23:32:34,socket,3306,mysql,Medium,MySQL — database port should not be public
130,2026-04-18 23:32:34,socket,22,ssh,Medium,SSH — ensure key-based auth & no root login
129,2026-04-18 23:29:13,socket,3306,mysql,Medium,MySQL — database port should not be public
128,2026-04-18 23:29:13,socket,22,ssh,Medium,SSH — ensure key-based auth & no root login
127,2026-04-18 23:27:34,socket,3306,mysql,Medium,MySQL — database port should not be public
126,2026-04-18 23:27:34,socket,22,ssh,Medium,SSH — ensure key-based auth & no root login
125,2026-04-18 23:22:34,socket,3306,mysql,Medium,MySQL — database port should not be public
124,2026-04-18 23:22:34,socket,22,ssh,Medium,SSH — ensure key-based auth & no root login
123,2026-04-18 23:17:34,socket,3306,mysql,Medium,MySQL — database port should not be public
122,2026-04-18 23:17:34,socket,22,ssh,Medium,SSH — ensure key-based auth & no root login
121,2026-04-18 23:12:34,socket,3306,mysql,Medium,MySQL — database port should not be public
120,2026-04-18 23:12:34,socket,22,ssh,Medium,SSH — ensure key-based auth & no root login
119,2026-04-18 23:07:34,socket,3306,mysql,Medium,MySQL — database port should not be public
118,2026-04-18 23:07:34,socket,22,ssh,Medium,SSH — ensure key-based auth & no root login
117,2026-04-18 23:02:34,socket,3306,mysql,Medium,MySQL — database port should not be public
116,2026-04-18 23:02:34,socket,22,ssh,Medium,SSH — ensure key-based auth & no root login
115,2026-04-18 22:57:34,socket,3306,mysql,Medium,MySQL — database port should not be public
114,2026-04-18 22:57:34,socket,22,ssh,Medium,SSH — ensure key-based auth & no root login
113,2026-04-18 22:52:34,socket,3306,mysql,Medium,MySQL — database port should not be public
112,2026-04-18 22:52:34,socket,22,ssh,Medium,SSH — ensure key-based auth & no root login
111,2026-04-18 22:47:34,socket,3306,mysql,Medium,MySQL — database port should not be public
110,2026-04-18 22:47:34,socket,22,ssh,Medium,SSH — ensure key-based auth & no root login
109,2026-04-18 22:42:34,socket,3306,mysql,Medium,MySQL — database port should not be public
108,2026-04-18 22:42:34,socket,22,ssh,Medium,SSH — ensure key-based auth & no root login
107,2026-04-18 22:37:34,socket,3306,mysql,Medium,MySQL — database port should not be public
106,2026-04-18 22:37:34,socket,22,ssh,Medium,SSH — ensure key-based auth & no root login
105,2026-04-18 22:32:33,socket,3306,mysql,Medium,MySQL — database port should not be public
104,2026-04-18 22:32:33,socket,22,ssh,Medium,SSH — ensure key-based auth & no root login
103,2026-04-18 22:27:33,socket,3306,mysql,Medium,MySQL — database port should not be public
102,2026-04-18 22:27:33,socket,22,ssh,Medium,SSH — ensure key-based auth & no root login
101,2026-04-18 22:22:33,socket,3306,mysql,Medium,MySQL — database port should not be public
100,2026-04-18 22:22:33,socket,22,ssh,Medium,SSH — ensure key-based auth & no root login
99,2026-04-18 22:17:33,socket,3306,mysql,Medium,MySQL — database port should not be public
98,2026-04-18 22:17:33,socket,22,ssh,Medium,SSH — ensure key-based auth & no root login
97,2026-04-18 22:12:33,socket,3306,mysql,Medium,MySQL — database port should not be public
96,2026-04-18 22:12:33,socket,22,ssh,Medium,SSH — ensure key-based auth & no root login
95,2026-04-18 22:07:33,socket,3306,mysql,Medium,MySQL — database port should not be public
94,2026-04-18 22:07:33,socket,22,ssh,Medium,SSH — ensure key-based auth & no root login
93,2026-04-18 22:02:33,socket,3306,mysql,Medium,MySQL — database port should not be public
92,2026-04-18 22:02:33,socket,22,ssh,Medium,SSH — ensure key-based auth & no root login
91,2026-04-18 21:57:33,socket,3306,mysql,Medium,MySQL — database port should not be public
90,2026-04-18 21:57:33,socket,22,ssh,Medium,SSH — ensure key-based auth & no root login
89,2026-04-18 21:52:33,socket,3306,mysql,Medium,MySQL — database port should not be public
88,2026-04-18 21:52:33,socket,22,ssh,Medium,SSH — ensure key-based auth & no root login
87,2026-04-18 21:47:33,socket,3306,mysql,Medium,MySQL — database port should not be public
86,2026-04-18 21:47:33,socket,22,ssh,Medium,SSH — ensure key-based auth & no root login
85,2026-04-18 21:42:33,socket,3306,mysql,Medium,MySQL — database port should not be public
84,2026-04-18 21:42:33,socket,22,ssh,Medium,SSH — ensure key-based auth & no root login
83,2026-04-18 21:37:33,socket,3306,mysql,Medium,MySQL — database port should not be public
82,2026-04-18 21:37:33,socket,22,ssh,Medium,SSH — ensure key-based auth & no root login
81,2026-04-18 21:32:33,socket,3306,mysql,Medium,MySQL — database port should not be public
80,2026-04-18 21:32:33,socket,22,ssh,Medium,SSH — ensure key-based auth & no root login
79,2026-04-18 21:27:32,socket,3306,mysql,Medium,MySQL — database port should not be public
78,2026-04-18 21:27:32,socket,22,ssh,Medium,SSH — ensure key-based auth & no root login
77,2026-04-18 21:22:32,socket,3306,mysql,Medium,MySQL — database port should not be public
76,2026-04-18 21:22:32,socket,22,ssh,Medium,SSH — ensure key-based auth & no root login
75,2026-04-18 21:17:32,socket,3306,mysql,Medium,MySQL — database port should not be public
74,2026-04-18 21:17:32,socket,22,ssh,Medium,SSH — ensure key-based auth & no root login
73,2026-04-18 21:12:32,socket,3306,mysql,Medium,MySQL — database port should not be public
72,2026-04-18 21:12:32,socket,22,ssh,Medium,SSH — ensure key-based auth & no root login
71,2026-04-18 21:07:32,socket,3306,mysql,Medium,MySQL — database port should not be public
70,2026-04-18 21:07:32,socket,22,ssh,Medium,SSH — ensure key-based auth & no root login
69,2026-04-18 21:02:32,socket,3306,mysql,Medium,MySQL — database port should not be public
68,2026-04-18 21:02:32,socket,22,ssh,Medium,SSH — ensure key-based auth & no root login
67,2026-04-18 20:57:32,socket,3306,mysql,Medium,MySQL — database port should not be public
66,2026-04-18 20:57:32,socket,22,ssh,Medium,SSH — ensure key-based auth & no root login
65,2026-04-18 20:52:32,socket,3306,mysql,Medium,MySQL — database port should not be public
64,2026-04-18 20:52:32,socket,22,ssh,Medium,SSH — ensure key-based auth & no root login
63,2026-04-18 20:47:32,socket,3306,mysql,Medium,MySQL — database port should not be public
62,2026-04-18 20:47:32,socket,22,ssh,Medium,SSH — ensure key-based auth & no root login
61,2026-04-18 20:42:32,socket,3306,mysql,Medium,MySQL — database port should not be public
